id,valor,quantidade_parcelas
EMP-0001,32331.91,12
EMP-0002,2225.53,72
EMP-0003,14476.44,72
EMP-0004,11937.33,12
EMP-0005,37087.09,72
EMP-0006,34158.27,60
EMP-0007,44716.8,36
EMP-0008,5260.0,72
EMP-0009,21674.17,36
EMP-0010,2460.06,12
EMP-0011,11713.26,36
EMP-0012,25762.41,48
EMP-0013,2300.26,24
EMP-0014,10743.04,48
EMP-0015,32844.34,12
EMP-0016,27702.13,72
EMP-0017,11801.59,72
EMP-0018,29874.02,36
EMP-0019,40662.09,60
EMP-0020,1318.44,24
EMP-0021,40485.14,60
EMP-0022,35208.83,12
EMP-0023,17672.28,72
EMP-0024,8618.5,36
EMP-0025,47903.44,72
EMP-0026,17493.13,60
EMP-0027,5544.55,60
EMP-0028,5739.1,24
EMP-0029,42527.22,24
EMP-0030,30582.58,36
EMP-0031,40549.29,24
EMP-0032,36756.86,60
EMP-0033,27275.18,60
EMP-0034,48682.67,12
EMP-0035,19548.18,60
EMP-0036,28049.99,36
EMP-0037,41640.83,48
EMP-0038,31307.47,12
EMP-0039,43223.64,12
EMP-0040,29290.26,36
EMP-0041,35524.02,36
EMP-0042,3245.39,24
EMP-0043,12167.02,12
EMP-0044,15180.01,24
EMP-0045,4909.81,60
EMP-0046,12406.75,12
EMP-0047,5949.07,12
EMP-0048,14620.71,72
EMP-0049,32148.54,48
EMP-0050,18876.78,12
EMP-0051,19138.87,60
EMP-0052,11265.84,24
EMP-0053,14081.91,24
EMP-0054,46896.07,72
EMP-0055,32753.73,48
EMP-0056,30847.42,60
EMP-0057,9385.79,24
EMP-0058,36727.21,36
EMP-0059,9006.72,60
EMP-0060,19593.32,60
EMP-0061,49486.64,48
EMP-0062,32359.99,24
EMP-0063,28290.54,60
EMP-0064,34546.1,72
EMP-0065,42299.74,72
EMP-0066,39024.0,24
EMP-0067,12223.36,72
EMP-0068,2572.91,36
EMP-0069,16457.2,48
EMP-0070,14119.3,72
EMP-0071,11338.16,72
EMP-0072,47202.58,36
EMP-0073,43942.01,48
EMP-0074,16419.22,60
EMP-0075,33116.49,48
EMP-0076,20385.96,12
EMP-0077,45812.83,24
EMP-0078,23483.74,24
EMP-0079,13979.13,12
EMP-0080,13084.75,36
EMP-0081,28507.04,12
EMP-0082,13874.34,60
EMP-0083,29644.71,60
EMP-0084,44993.32,24
EMP-0085,20570.62,60
EMP-0086,11746.72,24
EMP-0087,49879.34,12
EMP-0088,25966.79,12
EMP-0089,5454.56,72
EMP-0090,3308.7,72
EMP-0091,6372.81,12
EMP-0092,31744.86,24
EMP-0093,39811.89,12
EMP-0094,21685.84,12
EMP-0095,4112.86,36
EMP-0096,19699.35,12
EMP-0097,49809.95,60
EMP-0098,26926.6,24
EMP-0099,48582.84,36
EMP-0100,43178.21,72
